Cycle No,Shift,Start Time,End Time,Duration,Power in kWh,Unit Consumption Per Heat Cycle
7,Shift 3,2023-05-11 18:57:16,2023-05-11 19:50:10,52.9,412.67,152.84066415836298
8,Shift 3,2023-05-11 19:50:10,2023-05-11 23:48:14,238.06666666666663,2690.93,996.6409932406768
9,Shift 3,2023-05-11 23:48:14,2023-05-12 01:59:25,131.18333333333334,1605.4,594.5926882936013
1,Shift 1,2023-05-12 01:59:25,2023-05-12 04:59:45,180.33333333333331,2137.3,791.5927651236747
2,Shift 1,2023-05-12 04:59:45,2023-05-12 07:30:58,151.21666666666667,1789.88,662.9186408666638
3,Shift 1,2023-05-12 07:30:58,2023-05-12 10:14:37,163.65,2180.24,807.4964750298285
4,Shift 2,2023-05-12 10:14:37,2023-05-12 11:56:58,102.35,2204.35,816.4261081420171
5,Shift 2,2023-05-12 11:56:58,2023-05-12 12:37:18,40.333333333333336,982.8,364.0000057698119
6,Shift 2,2023-05-12 12:37:18,2023-05-12 13:50:19,73.01666666666667,792.27,293.43331158211896
7,Shift 2,2023-05-12 13:50:19,2023-05-12 17:26:06,215.78333333333333,1961.4,726.4445915677245
8,Shift 3,2023-05-12 17:26:06,2023-05-12 18:54:18,88.2,1823.22,675.2667938305943
9,Shift 3,2023-05-12 18:54:18,2023-05-12 21:53:35,179.28333333333333,2366.15,876.3520574390765
10,Shift 3,2023-05-12 21:53:35,2023-05-13 00:45:11,171.6,1950.33,722.3445899687229
1,Shift 1,2023-05-13 00:45:11,2023-05-13 02:35:48,110.61666666666666,1930.36,714.9482907878682
2,Shift 1,2023-05-13 02:35:48,2023-05-13 11:06:39,510.85,2457.12,910.0446631717926
3,Shift 2,2023-05-13 11:06:39,2023-05-13 12:38:06,91.45,1779.91,659.2260468339588
4,Shift 2,2023-05-13 12:38:06,2023-05-13 14:14:34,96.46666666666668,2004.41,742.3742274099155
5,Shift 2,2023-05-13 14:14:34,2023-05-13 15:57:32,102.96666666666668,1413.3,523.444512397649
6,Shift 2,2023-05-13 15:57:32,2023-05-13 17:33:37,96.08333333333331,1914.45,709.0556958971624
7,Shift 3,2023-05-13 17:33:37,2023-05-13 19:14:08,100.51666666666668,2072.04,767.4223853268508
8,Shift 3,2023-05-13 19:14:08,2023-05-13 22:05:12,171.06666666666666,2429.43,899.7891036165666
9,Shift 3,2023-05-13 22:05:12,2023-05-13 22:42:24,37.2,1006.84,372.9037129459633
